ID,ISO_Code,Year,Temperature_change,Drought,Extreme_temperature,Flood,Landslide,Storm,TOTAL,Wildfire
540,32.0,2004,0.47,,1.0,2.0,,,3.0,
541,32.0,2005,0.281,,,,,1.0,1.0,
542,32.0,2006,0.596,,,1.0,,,1.0,
543,32.0,2007,-0.169,,1.0,2.0,,,3.0,
544,32.0,2008,0.601,,,1.0,,,1.0,
545,32.0,2009,0.857,1.0,,2.0,1.0,1.0,5.0,
546,32.0,2010,0.135,,1.0,,,,1.0,
547,32.0,2011,0.386,,,,,,,
548,32.0,2012,0.798,,,1.0,,2.0,3.0,
549,32.0,2013,0.442,,,1.0,,1.0,2.0,
550,32.0,2014,0.951,,,3.0,1.0,,4.0,
551,32.0,2015,0.957,,,3.0,,1.0,4.0,
552,32.0,2016,0.488,,,2.0,,,2.0,
553,32.0,2017,1.095,,,3.0,1.0,,4.0,
554,32.0,2018,0.878,1.0,,3.0,,1.0,5.0,
555,32.0,2019,0.76,1.0,,3.0,,,4.0,
556,32.0,2020,1.123,,,1.0,,1.0,2.0,
557,32.0,2021,1.031,,,1.0,,,2.0,1.0
558,32.0,2022,0.643,,,,,,1.0,1.0
559,36.0,1961,0.157,,,,,,,
560,36.0,1962,0.126,,,,,,,
561,36.0,1963,-0.096,,,,,,,
562,36.0,1964,-0.012,,,,,,,
563,36.0,1965,0.14,,,,,,,
564,36.0,1966,-0.23,,,,,,,
565,36.0,1967,-0.093,,,,,,,
566,36.0,1968,-0.203,,,,,,,
567,36.0,1969,0.103,,,,,,,
568,36.0,1970,-0.007,,,,,,,
569,36.0,1971,-0.044,,,,,,,
570,36.0,1972,0.091,,,,,,,
571,36.0,1973,0.831,,,,,,,
572,36.0,1974,-0.354,,,,,,,
573,36.0,1975,0.048,,,,,,,
574,36.0,1976,-0.522,,,,,,,
575,36.0,1977,0.176,,,,,,,
576,36.0,1978,0.062,,,,,,,
577,36.0,1979,0.375,,,,,,,
578,36.0,1980,0.887,,,,,,,
579,36.0,1981,0.495,1.0,,1.0,,,2.0,
580,36.0,1982,0.186,,,,,3.0,3.0,
581,36.0,1983,0.633,,,,,,1.0,1.0
582,36.0,1984,-0.157,,,1.0,,,1.0,
583,36.0,1985,0.349,,,,,1.0,3.0,2.0
584,36.0,1986,0.388,,,1.0,,3.0,4.0,
585,36.0,1987,0.363,,,,,,,
586,36.0,1988,0.96,,,2.0,,1.0,3.0,
587,36.0,1989,0.153,,,1.0,,2.0,3.0,
588,36.0,1990,0.549,,,2.0,,1.0,4.0,1.0
589,36.0,1991,0.82,1.0,,,,2.0,3.0,
590,36.0,1992,0.281,1.0,,,,2.0,3.0,
591,36.0,1993,0.484,,1.0,1.0,,2.0,4.0,
592,36.0,1994,0.221,,2.0,,,4.0,8.0,2.0
593,36.0,1995,0.413,,1.0,,,4.0,5.0,
594,36.0,1996,0.604,,,2.0,1.0,6.0,9.0,
595,36.0,1997,0.383,,,1.0,1.0,,4.0,2.0
596,36.0,1998,1.092,,,6.0,,,6.0,
597,36.0,1999,0.58,,,,,4.0,5.0,1.0
598,36.0,2000,0.148,,,1.0,,3.0,5.0,1.0
599,36.0,2001,0.336,,,4.0,,3.0,9.0,2.0
600,36.0,2002,0.736,1.0,,,,3.0,5.0,1.0
601,36.0,2003,0.835,,,4.0,,5.0,10.0,1.0
602,36.0,2004,0.723,,,3.0,,3.0,6.0,
603,36.0,2005,1.211,,,1.0,,2.0,4.0,1.0
